Papua New Guinea,PNG,2900.0
Poland,POL,21590.0
Pre-demographic dividend,PRE,1453.70309167177
Puerto Rico (US),PRI,25860.0
Portugal,PRT,26910.0
Paraguay,PRY,6300.0
West Bank and Gaza,PSE,2710.0
Pacific island small states,PSS,4380.52307042885
Post-demographic dividend,PST,54750.9501669972
French Polynesia,PYF,23930.0
Qatar,QAT,77290.0
Romania,ROU,17600.0
Russian Federation,RUS,15320.0
Rwanda,RWA,1040.0
South Asia,SAS,2662.20844152326
Saudi Arabia,SAU,35630.0
Sudan,SDN,710.0
Senegal,SEN,1680.0
Singapore,SGP,74750.0
Solomon Islands,SLB,1910.0
Sierra Leone,SLE,820.0
El Salvador,SLV,5120.0
"Somalia, Fed. Rep.",SOM,620.0
Serbia,SRB,11610.0
Sub-Saharan Africa (excluding high income),SSA,1652.17079684644
Sub-Saharan Africa,SSF,1597.37591752611
Small states,SST,14172.7462693778
Sao Tome and Principe,STP,2850.0
Suriname,SUR,5690.0
Slovak Republic,SVK,23560.0
Slovenia,SVN,31790.0
Sweden,SWE,58190.0
Eswatini,SWZ,3590.0
Sint Maarten (Dutch part),SXM,38950.0
Seychelles,SYC,17460.0
Turks and Caicos Islands,TCA,36760.0
Chad,TCD,940.0
East Asia & Pacific (IDA & IBRD countries),TEA,10749.511363955
Europe & Central Asia (IDA & IBRD countries),TEC,12407.3884339644
Togo,TGO,1080.0
Thailand,THA,7100.0
Tajikistan,TJK,1650.0
Turkmenistan,TKM,6510.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,9756.96201523275
Timor-Leste,TLS,1650.0
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2915.88188847978
South Asia (IDA & IBRD),TSA,2662.20844152326
Sub-Saharan Africa (IDA & IBRD countries),TSS,1597.37591752611
Trinidad and Tobago,TTO,19740.0
Tunisia,TUN,3880.0
Turkiye,TUR,13460.0
Tanzania,TZA,1210.0
Uganda,UGA,1020.0
Ukraine,UKR,5210.0
Upper middle income,UMC,10906.8360433289
Uruguay,URY,21650.0
United States,USA,83490.0
Uzbekistan,UZB,3020.0
St. Vincent and the Grenadines,VCT,11060.0
"Venezuela, RB",VEN,3820.0
Viet Nam,VNM,4490.0
Vanuatu,VUT,3890.0
World,WLD,13442.5002837166
Samoa,WSM,5040.0
Kosovo,XKX,6910.0
South Africa,ZAF,6110.0
Zambia,ZMB,1220.0
Zimbabwe,ZWE,2400.0
